Model,Base_VLM,Action_Family,Training_Data,CKNNA_ckpt_steps,feats_A_dim,feats_action_dim,feats_action_source,CKNNA_action_k5,CKNNA_action_k10,CKNNA_action_k20,CKNNA_proprio_k5,CKNNA_proprio_k10,CKNNA_proprio_k20,WidowX_avg_entire,WidowX_avg_source,Notes,MutualKNN_action_k5,MutualKNN_action_k10,MutualKNN_action_k20,MutualKNN_proprio_k5,MutualKNN_proprio_k10,MutualKNN_proprio_k20
Qwen2.5-GR00T-Bridge-RT-1,Qwen2.5-VL-3B,flow-matching-DiT,Bridge+Fractal,30k,2048,1024,action_model.action_decoder pre-hook (final denoise step),0.0468,0.0489,0.0553,0.3079,0.2332,0.1733,63.6,README Model Zoo,"Per-task avg=61.8, README says 63.6; possible different eval run; N=50K CKNNA values",0.0448,0.0494,0.0586,0.2487,0.1814,0.1333
Qwen2.5-OFT-Bridge-RT-1,Qwen2.5-VL-3B,MLP-regression,Bridge+Fractal,10k,2048,2048,VLM hidden_states at action token positions,0.2586,0.2283,0.2104,0.2901,0.2143,0.1504,44.2,starvla_simpleEnv.md computed,Per-task (39.6+40.3+10.4+86.5)/4=44.2; README says 41.8 (likely copy error from OpenVLA-OFT); N=50K CKNNA values,0.2075,0.1912,0.1830,0.2333,0.1671,0.1164
Qwen3-GR00T-Bridge-RT-1,Qwen3-VL-4B,flow-matching-DiT,Bridge+Fractal,20k,2560,1024,action_model.action_decoder pre-hook (final denoise step),0.0909,0.0844,0.0878,0.3016,0.2238,0.1632,65.3,starvla_simpleEnv.md computed,Per-task (83.0+59.4+18.8+100)/4=65.3 verified; N=50K CKNNA values,0.0725,0.0731,0.0807,0.2447,0.1754,0.1249
Qwen3-OFT-Bridge-RT-1,Qwen3-VL-4B,MLP-regression,Bridge+Fractal,5k,2560,2560,VLM hidden_states at action token positions,0.2122,0.1914,0.1817,0.2799,0.2095,0.1475,42.7,README Model Zoo,CKNNA ckpt=5k; starvla_simpleEnv shows 65k step=59.6; step mismatch; N=50K CKNNA values,0.1775,0.1687,0.1704,0.2264,0.1631,0.1126
Qwen2.5-GR00T-Bridge,Qwen2.5-VL-3B,flow-matching-DiT,Bridge_only,45k,2048,1024,action_model.action_decoder pre-hook (final denoise step),0.1174,0.1113,0.1135,0.3154,0.2401,0.1820,71.4,README Model Zoo,No per-task breakdown available; Bridge-only training; N=50K CKNNA values,0.0929,0.0965,0.1044,0.2508,0.1822,0.1349
Qwen2.5-FAST-Bridge-RT-1,Qwen2.5-VL-3B,autoregressive,Bridge+Fractal,10k,2048,2048,generate() hidden_states[-1] per step,0.0531,0.0503,0.0490,0.2919,0.2200,0.1565,58.6,starvla_simpleEnv.md computed,Per-task (71.9+41.7+36.5+84.4)/4=58.6 verified; N=50K CKNNA values,0.0401,0.0418,0.0446,0.2236,0.1592,0.1109
